325.000, 0.250	325.000, 0.255	325.000, 0.254	325.000, 0.247	325.000, 0.267
326.000, 0.255	326.000, 0.260	326.000, 0.256	326.000, 0.254	326.000, 0.269
327.000, 0.263	327.000, 0.266	327.000, 0.260	327.000, 0.263	327.000, 0.274
328.000, 0.266	328.000, 0.265	328.000, 0.264	328.000, 0.265	328.000, 0.281
329.000, 0.267	329.000, 0.263	329.000, 0.265	329.000, 0.262	329.000, 0.283
330.000, 0.267	330.000, 0.261	330.000, 0.263	330.000, 0.259	330.000, 0.280
331.000, 0.260	331.000, 0.260	331.000, 0.259	331.000, 0.260	331.000, 0.277
332.000, 0.260	332.000, 0.261	332.000, 0.260	332.000, 0.263	332.000, 0.278
333.000, 0.267	333.000, 0.265	333.000, 0.266	333.000, 0.267	333.000, 0.283
334.000, 0.265	334.000, 0.267	334.000, 0.265	334.000, 0.268	334.000, 0.282
335.000, 0.265	335.000, 0.268	335.000, 0.265	335.000, 0.268	335.000, 0.282
336.000, 0.271	336.000, 0.271	336.000, 0.270	336.000, 0.269	336.000, 0.291
337.000, 0.272	337.000, 0.273	337.000, 0.273	337.000, 0.268	337.000, 0.291
338.000, 0.271	338.000, 0.272	338.000, 0.273	338.000, 0.267	338.000, 0.287
339.000, 0.270	339.000, 0.270	339.000, 0.271	339.000, 0.270	339.000, 0.285
340.000, 0.271	340.000, 0.271	340.000, 0.272	340.000, 0.272	340.000, 0.286
341.000, 0.271	341.000, 0.274	341.000, 0.275	341.000, 0.273	341.000, 0.290
342.000, 0.273	342.000, 0.276	342.000, 0.276	342.000, 0.274	342.000, 0.292
343.000, 0.275	343.000, 0.276	343.000, 0.276	343.000, 0.276	343.000, 0.291
344.000, 0.276	344.000, 0.277	344.000, 0.276	344.000, 0.277	344.000, 0.291
345.000, 0.276	345.000, 0.279	345.000, 0.276	345.000, 0.276	345.000, 0.292
346.000, 0.277	346.000, 0.280	346.000, 0.277	346.000, 0.276	346.000, 0.294
347.000, 0.280	347.000, 0.282	347.000, 0.280	347.000, 0.280	347.000, 0.295
348.000, 0.283	348.000, 0.284	348.000, 0.283	348.000, 0.281	348.000, 0.297
349.000, 0.285	349.000, 0.286	349.000, 0.285	349.000, 0.281	349.000, 0.299
350.000, 0.286	350.000, 0.286	350.000, 0.287	350.000, 0.284	350.000, 0.300
351.000, 0.287	351.000, 0.286	351.000, 0.288	351.000, 0.287	351.000, 0.301
352.000, 0.289	352.000, 0.288	352.000, 0.288	352.000, 0.289	352.000, 0.303
