325.000, 0.250	325.000, 0.225	325.000, 0.242	325.000, 0.237	325.000, 0.241
326.000, 0.252	326.000, 0.224	326.000, 0.243	326.000, 0.240	326.000, 0.244
327.000, 0.257	327.000, 0.226	327.000, 0.248	327.000, 0.246	327.000, 0.250
328.000, 0.260	328.000, 0.235	328.000, 0.253	328.000, 0.250	328.000, 0.254
329.000, 0.261	329.000, 0.237	329.000, 0.253	329.000, 0.253	329.000, 0.253
330.000, 0.261	330.000, 0.233	330.000, 0.250	330.000, 0.254	330.000, 0.250
331.000, 0.260	331.000, 0.233	331.000, 0.248	331.000, 0.249	331.000, 0.252
332.000, 0.261	332.000, 0.235	332.000, 0.250	332.000, 0.248	332.000, 0.254
333.000, 0.264	333.000, 0.239	333.000, 0.256	333.000, 0.254	333.000, 0.257
334.000, 0.265	334.000, 0.239	334.000, 0.256	334.000, 0.256	334.000, 0.258
335.000, 0.266	335.000, 0.238	335.000, 0.257	335.000, 0.258	335.000, 0.259
336.000, 0.269	336.000, 0.241	336.000, 0.264	336.000, 0.262	336.000, 0.260
337.000, 0.271	337.000, 0.244	337.000, 0.264	337.000, 0.262	337.000, 0.263
338.000, 0.271	338.000, 0.245	338.000, 0.260	338.000, 0.260	338.000, 0.265
339.000, 0.269	339.000, 0.243	339.000, 0.259	339.000, 0.260	339.000, 0.262
340.000, 0.269	340.000, 0.243	340.000, 0.261	340.000, 0.262	340.000, 0.262
341.000, 0.272	341.000, 0.245	341.000, 0.264	341.000, 0.265	341.000, 0.267
342.000, 0.274	342.000, 0.247	342.000, 0.264	342.000, 0.267	342.000, 0.268
343.000, 0.276	343.000, 0.248	343.000, 0.264	343.000, 0.268	343.000, 0.268
344.000, 0.278	344.000, 0.248	344.000, 0.267	344.000, 0.267	344.000, 0.268
345.000, 0.278	345.000, 0.249	345.000, 0.268	345.000, 0.268	345.000, 0.270
346.000, 0.278	346.000, 0.249	346.000, 0.269	346.000, 0.269	346.000, 0.272
347.000, 0.278	347.000, 0.252	347.000, 0.271	347.000, 0.270	347.000, 0.273
