325.000, 0.232	325.000, 0.238	325.000, 0.235	325.000, 0.222	325.000, 0.234
326.000, 0.235	326.000, 0.242	326.000, 0.238	326.000, 0.226	326.000, 0.234
327.000, 0.243	327.000, 0.244	327.000, 0.242	327.000, 0.232	327.000, 0.237
328.000, 0.246	328.000, 0.246	328.000, 0.246	328.000, 0.235	328.000, 0.242
329.000, 0.245	329.000, 0.244	329.000, 0.247	329.000, 0.237	329.000, 0.244
330.000, 0.241	330.000, 0.242	330.000, 0.246	330.000, 0.238	330.000, 0.243
331.000, 0.242	331.000, 0.243	331.000, 0.243	331.000, 0.236	331.000, 0.239
332.000, 0.246	332.000, 0.245	332.000, 0.243	332.000, 0.238	332.000, 0.240
333.000, 0.249	333.000, 0.248	333.000, 0.247	333.000, 0.244	333.000, 0.246
334.000, 0.247	334.000, 0.249	334.000, 0.246	334.000, 0.247	334.000, 0.248
335.000, 0.247	335.000, 0.250	335.000, 0.247	335.000, 0.248	335.000, 0.249
336.000, 0.252	336.000, 0.253	336.000, 0.252	336.000, 0.248	336.000, 0.251
337.000, 0.255	337.000, 0.255	337.000, 0.254	337.000, 0.248	337.000, 0.252
338.000, 0.256	338.000, 0.256	338.000, 0.252	338.000, 0.247	338.000, 0.250
339.000, 0.254	339.000, 0.252	339.000, 0.252	339.000, 0.249	339.000, 0.249
340.000, 0.254	340.000, 0.252	340.000, 0.253	340.000, 0.250	340.000, 0.251
341.000, 0.257	341.000, 0.256	341.000, 0.256	341.000, 0.251	341.000, 0.255
342.000, 0.258	342.000, 0.257	342.000, 0.257	342.000, 0.255	342.000, 0.256
343.000, 0.258	343.000, 0.258	343.000, 0.257	343.000, 0.257	343.000, 0.257
344.000, 0.260	344.000, 0.259	344.000, 0.258	344.000, 0.256	344.000, 0.257
345.000, 0.260	345.000, 0.260	345.000, 0.259	345.000, 0.256	345.000, 0.257
346.000, 0.260	346.000, 0.261	346.000, 0.262	346.000, 0.258	346.000, 0.258
347.000, 0.263	347.000, 0.264	347.000, 0.264	347.000, 0.260	347.000, 0.261
348.000, 0.266	348.000, 0.266	348.000, 0.265	348.000, 0.261	348.000, 0.264
349.000, 0.269	349.000, 0.266	349.000, 0.265	349.000, 0.263	349.000, 0.265
350.000, 0.269	350.000, 0.269	350.000, 0.267	350.000, 0.266	350.000, 0.265
351.000, 0.270	351.000, 0.271	351.000, 0.269	351.000, 0.268	351.000, 0.267
352.000, 0.271	352.000, 0.271	352.000, 0.271	352.000, 0.268	352.000, 0.268
353.000, 0.271	353.000, 0.271	353.000, 0.273	353.000, 0.270	353.000, 0.270
354.000, 0.272	354.000, 0.272	354.000, 0.273	354.000, 0.271	354.000, 0.271
355.000, 0.274	355.000, 0.274	355.000, 0.273	355.000, 0.272	355.000, 0.272
356.000, 0.274	356.000, 0.275	356.000, 0.275	356.000, 0.272	356.000, 0.273
357.000, 0.275	357.000, 0.276	357.000, 0.277	357.000, 0.273	357.000, 0.275
358.000, 0.277	358.000, 0.278	358.000, 0.277	358.000, 0.275	358.000, 0.275
359.000, 0.279	359.000, 0.279	359.000, 0.278	359.000, 0.277	359.000, 0.276
360.000, 0.280	360.000, 0.281	360.000, 0.280	360.000, 0.278	360.000, 0.279
361.000, 0.282	361.000, 0.283	361.000, 0.282	361.000, 0.279	361.000, 0.280
362.000, 0.284	362.000, 0.285	362.000, 0.284	362.000, 0.280	362.000, 0.281
363.000, 0.284	363.000, 0.285	363.000, 0.285	363.000, 0.282	363.000, 0.282
364.000, 0.285	364.000, 0.285	364.000, 0.285	364.000, 0.283	364.000, 0.283
365.000, 0.287	365.000, 0.287	365.000, 0.286	365.000, 0.284	365.000, 0.285
366.000, 0.289	366.000, 0.289	366.000, 0.287	366.000, 0.286	366.000, 0.287
367.000, 0.290	367.000, 0.290	367.000, 0.289	367.000, 0.287	367.000, 0.288
368.000, 0.290	368.000, 0.291	368.000, 0.291	368.000, 0.288	368.000, 0.288
369.000, 0.291	369.000, 0.292	369.000, 0.292	369.000, 0.290	369.000, 0.290
370.000, 0.293	370.000, 0.293	370.000, 0.293	370.000, 0.290	370.000, 0.292
371.000, 0.294	371.000, 0.294	371.000, 0.293	371.000, 0.291	371.000, 0.293
372.000, 0.296	372.000, 0.296	372.000, 0.295	372.000, 0.293	372.000, 0.293
373.000, 0.297	373.000, 0.297	373.000, 0.296	373.000, 0.295	373.000, 0.295
374.000, 0.299	374.000, 0.299	374.000, 0.297	374.000, 0.296	374.000, 0.297
375.000, 0.301	375.000, 0.301	375.000, 0.299	375.000, 0.297	375.000, 0.299
376.000, 0.303	376.000, 0.303	376.000, 0.302	376.000, 0.299	376.000, 0.301
377.000, 0.304	377.000, 0.305	377.000, 0.304	377.000, 0.302	377.000, 0.302
378.000, 0.305	378.000, 0.307	378.000, 0.306	378.000, 0.304	378.000, 0.304
379.000, 0.308	379.000, 0.308	379.000, 0.307	379.000, 0.305	379.000, 0.306
380.000, 0.309	380.000, 0.309	380.000, 0.308	380.000, 0.307	380.000, 0.306
381.000, 0.310	381.000, 0.310	381.000, 0.309	381.000, 0.308	381.000, 0.308
382.000, 0.312	382.000, 0.312	382.000, 0.311	382.000, 0.310	382.000, 0.311
383.000, 0.314	383.000, 0.314	383.000, 0.314	383.000, 0.311	383.000, 0.313
384.000, 0.317	384.000, 0.317	384.000, 0.316	384.000, 0.313	384.000, 0.314
385.000, 0.319	385.000, 0.319	385.000, 0.318	385.000, 0.316	385.000, 0.317
386.000, 0.322	386.000, 0.322	386.000, 0.321	386.000, 0.319	386.000, 0.320
387.000, 0.324	387.000, 0.326	387.000, 0.323	387.000, 0.321	387.000, 0.322
388.000, 0.326	388.000, 0.328	388.000, 0.324	388.000, 0.322	388.000, 0.323
389.000, 0.328	389.000, 0.329	389.000, 0.327	389.000, 0.325	389.000, 0.325
390.000, 0.330	390.000, 0.330	390.000, 0.330	390.000, 0.328	390.000, 0.327
391.000, 0.331	391.000, 0.331	391.000, 0.331	391.000, 0.330	391.000, 0.329
392.000, 0.333	392.000, 0.333	392.000, 0.332	392.000, 0.331	392.000, 0.331
393.000, 0.335	393.000, 0.335	393.000, 0.335	393.000, 0.333	393.000, 0.334
394.000, 0.338	394.000, 0.338	394.000, 0.337	394.000, 0.334	394.000, 0.335
395.000, 0.339	395.000, 0.339	395.000, 0.339	395.000, 0.336	395.000, 0.336
396.000, 0.340	396.000, 0.340	396.000, 0.340	396.000, 0.338	396.000, 0.338
397.000, 0.343	397.000, 0.342	397.000, 0.342	397.000, 0.340	397.000, 0.341
398.000, 0.345	398.000, 0.345	398.000, 0.345	398.000, 0.343	398.000, 0.343
399.000, 0.346	399.000, 0.346	399.000, 0.345	399.000, 0.344	399.000, 0.344
400.000, 0.347	400.000, 0.348	400.000, 0.346	400.000, 0.345	400.000, 0.345
401.000, 0.349	401.000, 0.350	401.000, 0.349	401.000, 0.347	401.000, 0.347
402.000, 0.351	402.000, 0.351	402.000, 0.350	402.000, 0.348	402.000, 0.349
403.000, 0.352	403.000, 0.352	403.000, 0.351	403.000, 0.349	403.000, 0.350
404.000, 0.353	404.000, 0.353	404.000, 0.353	404.000, 0.351	404.000, 0.351
405.000, 0.355	405.000, 0.355	405.000, 0.354	405.000, 0.352	405.000, 0.353
406.000, 0.356	406.000, 0.357	406.000, 0.356	406.000, 0.353	406.000, 0.355
407.000, 0.357	407.000, 0.358	407.000, 0.357	407.000, 0.354	407.000, 0.355
408.000, 0.359	408.000, 0.359	408.000, 0.358	408.000, 0.356	408.000, 0.357
409.000, 0.360	409.000, 0.361	409.000, 0.360	409.000, 0.358	409.000, 0.359
410.000, 0.362	410.000, 0.362	410.000, 0.361	410.000, 0.359	410.000, 0.360
411.000, 0.363	411.000, 0.363	411.000, 0.362	411.000, 0.360	411.000, 0.361
412.000, 0.365	412.000, 0.365	412.000, 0.364	412.000, 0.362	412.000, 0.363
413.000, 0.366	413.000, 0.366	413.000, 0.365	413.000, 0.363	413.000, 0.364
414.000, 0.367	414.000, 0.367	414.000, 0.366	414.000, 0.365	414.000, 0.365
415.000, 0.369	415.000, 0.369	415.000, 0.368	415.000, 0.366	415.000, 0.367
416.000, 0.370	416.000, 0.370	416.000, 0.369	416.000, 0.367	416.000, 0.368
417.000, 0.372	417.000, 0.372	417.000, 0.370	417.000, 0.369	417.000, 0.369
418.000, 0.373	418.000, 0.373	418.000, 0.372	418.000, 0.371	418.000, 0.371
419.000, 0.374	419.000, 0.374	419.000, 0.373	419.000, 0.371	419.000, 0.372
420.000, 0.375	420.000, 0.375	420.000, 0.374	420.000, 0.372	420.000, 0.373
421.000, 0.376	421.000, 0.377	421.000, 0.375	421.000, 0.374	421.000, 0.375
422.000, 0.378	422.000, 0.378	422.000, 0.377	422.000, 0.375	422.000, 0.376
423.000, 0.379	423.000, 0.380	423.000, 0.379	423.000, 0.377	423.000, 0.378
424.000, 0.381	424.000, 0.381	424.000, 0.380	424.000, 0.379	424.000, 0.379
425.000, 0.383	425.000, 0.383	425.000, 0.381	425.000, 0.380	425.000, 0.381
426.000, 0.383	426.000, 0.384	426.000, 0.383	426.000, 0.381	426.000, 0.382
427.000, 0.385	427.000, 0.385	427.000, 0.384	427.000, 0.382	427.000, 0.383
428.000, 0.387	428.000, 0.387	428.000, 0.386	428.000, 0.384	428.000, 0.385
429.000, 0.388	429.000, 0.389	429.000, 0.387	429.000, 0.386	429.000, 0.386
430.000, 0.389	430.000, 0.390	430.000, 0.389	430.000, 0.387	430.000, 0.388
431.000, 0.391	431.000, 0.392	431.000, 0.391	431.000, 0.389	431.000, 0.389
432.000, 0.393	432.000, 0.393	432.000, 0.392	432.000, 0.390	432.000, 0.391
433.000, 0.394	433.000, 0.395	433.000, 0.393	433.000, 0.392	433.000, 0.392
434.000, 0.396	434.000, 0.396	434.000, 0.395	434.000, 0.394	434.000, 0.394
435.000, 0.398	435.000, 0.398	435.000, 0.397	435.000, 0.395	435.000, 0.396
436.000, 0.399	436.000, 0.399	436.000, 0.398	436.000, 0.397	436.000, 0.397
437.000, 0.401	437.000, 0.401	437.000, 0.400	437.000, 0.398	437.000, 0.399
438.000, 0.402	438.000, 0.402	438.000, 0.401	438.000, 0.400	438.000, 0.400
439.000, 0.404	439.000, 0.404	439.000, 0.402	439.000, 0.401	439.000, 0.402
440.000, 0.405	440.000, 0.405	440.000, 0.404	440.000, 0.403	440.000, 0.403
441.000, 0.407	441.000, 0.407	441.000, 0.405	441.000, 0.404	441.000, 0.405
442.000, 0.408	442.000, 0.408	442.000, 0.407	442.000, 0.406	442.000, 0.406
443.000, 0.409	443.000, 0.410	443.000, 0.409	443.000, 0.407	443.000, 0.408
444.000, 0.411	444.000, 0.411	444.000, 0.410	444.000, 0.408	444.000, 0.409
445.000, 0.412	445.000, 0.413	445.000, 0.411	445.000, 0.410	445.000, 0.411
446.000, 0.414	446.000, 0.414	446.000, 0.412	446.000, 0.411	446.000, 0.412
447.000, 0.415	447.000, 0.415	447.000, 0.414	447.000, 0.413	447.000, 0.413
448.000, 0.416	448.000, 0.417	448.000, 0.415	448.000, 0.414	448.000, 0.414
449.000, 0.417	449.000, 0.418	449.000, 0.417	449.000, 0.415	449.000, 0.416
450.000, 0.419	450.000, 0.419	450.000, 0.418	450.000, 0.417	450.000, 0.417
451.000, 0.420	451.000, 0.420	451.000, 0.419	451.000, 0.418	451.000, 0.418
452.000, 0.421	452.000, 0.421	452.000, 0.420	452.000, 0.419	452.000, 0.419
453.000, 0.422	453.000, 0.422	453.000, 0.421	453.000, 0.420	453.000, 0.420
454.000, 0.423	454.000, 0.423	454.000, 0.422	454.000, 0.421	454.000, 0.422
455.000, 0.424	455.000, 0.424	455.000, 0.424	455.000, 0.422	455.000, 0.423
456.000, 0.425	456.000, 0.425	456.000, 0.424	456.000, 0.423	456.000, 0.423
457.000, 0.426	457.000, 0.427	457.000, 0.425	457.000, 0.424	457.000, 0.424
458.000, 0.427	458.000, 0.428	458.000, 0.426	458.000, 0.425	458.000, 0.426
459.000, 0.428	459.000, 0.428	459.000, 0.427	459.000, 0.425	459.000, 0.426
460.000, 0.429	460.000, 0.429	460.000, 0.428	460.000, 0.426	460.000, 0.427
461.000, 0.429	461.000, 0.430	461.000, 0.429	461.000, 0.427	461.000, 0.427
462.000, 0.430	462.000, 0.431	462.000, 0.429	462.000, 0.428	462.000, 0.428
463.000, 0.431	463.000, 0.432	463.000, 0.430	463.000, 0.429	463.000, 0.430
464.000, 0.432	464.000, 0.432	464.000, 0.431	464.000, 0.429	464.000, 0.430
465.000, 0.432	465.000, 0.433	465.000, 0.431	465.000, 0.430	465.000, 0.431
466.000, 0.433	466.000, 0.434	466.000, 0.432	466.000, 0.431	466.000, 0.432
467.000, 0.434	467.000, 0.434	467.000, 0.433	467.000, 0.431	467.000, 0.432
468.000, 0.435	468.000, 0.435	468.000, 0.434	468.000, 0.432	468.000, 0.433
469.000, 0.435	469.000, 0.436	469.000, 0.434	469.000, 0.433	469.000, 0.434
470.000, 0.436	470.000, 0.437	470.000, 0.435	470.000, 0.434	470.000, 0.435
471.000, 0.437	471.000, 0.438	471.000, 0.436	471.000, 0.435	471.000, 0.436
472.000, 0.438	472.000, 0.438	472.000, 0.437	472.000, 0.435	472.000, 0.436
473.000, 0.438	473.000, 0.439	473.000, 0.437	473.000, 0.436	473.000, 0.437
474.000, 0.439	474.000, 0.440	474.000, 0.438	474.000, 0.437	474.000, 0.438
475.000, 0.440	475.000, 0.440	475.000, 0.439	475.000, 0.438	475.000, 0.439
476.000, 0.441	476.000, 0.441	476.000, 0.440	476.000, 0.438	476.000, 0.439
477.000, 0.442	477.000, 0.442	477.000, 0.441	477.000, 0.439	477.000, 0.440
478.000, 0.442	478.000, 0.443	478.000, 0.441	478.000, 0.440	478.000, 0.441
479.000, 0.443	479.000, 0.443	479.000, 0.442	479.000, 0.441	479.000, 0.442
480.000, 0.444	480.000, 0.444	480.000, 0.443	480.000, 0.442	480.000, 0.442
481.000, 0.445	481.000, 0.445	481.000, 0.444	481.000, 0.442	481.000, 0.443
482.000, 0.445	482.000, 0.446	482.000, 0.444	482.000, 0.443	482.000, 0.443
483.000, 0.446	483.000, 0.447	483.000, 0.445	483.000, 0.444	483.000, 0.444
484.000, 0.447	484.000, 0.448	484.000, 0.446	484.000, 0.445	484.000, 0.445
485.000, 0.448	485.000, 0.448	485.000, 0.447	485.000, 0.446	485.000, 0.446
486.000, 0.449	486.000, 0.450	486.000, 0.448	486.000, 0.447	486.000, 0.447
487.000, 0.450	487.000, 0.451	487.000, 0.449	487.000, 0.448	487.000, 0.448
488.000, 0.451	488.000, 0.452	488.000, 0.450	488.000, 0.449	488.000, 0.449
